#NOMPARTIDA,CODFUNCION,CODECOPART,Fecha,NIFTERCERO,NOMTERCERO,Descripción,IMPTOTFACTS
"Prensa, revistas, libros y otras publicaciones",920,22001,2013-07-03,A58417346,WOLTERS KLUWER ESPAÑA S.A.,"(A5001)El Consultor de Aytos y  Juzgado, Periodo: 07/2013-06/ 2014-Secretaria",78.95
"Reuniones, conferencia y cursos",924,22606,2013-07-04,B38987368,"A.D.E.S. SIGLO 21, S.L.","Rectificación Factura 005/. de  Fecha 4/7/13, Servicio Médico  el Día de la Ciudadanía.",140
Combustibles y carburantes,150,22103,2013-07-05,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante Junio 2013, Veh?cul os",409.93
Combustibles y carburantes,912,22103,2013-07-05,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante Junio 2013, Veh?cul os",409.93
Combustibles y carburantes,920,22103,2013-07-05,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Carburante Junio 2013, Veh?cul os",409.93
Postales,920,22201,2013-07-05,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 05/07 /2013,Multas 488",6.79
Atenciones protocolarias y representativas,912,22601,2013-07-06,G38098216,ASOCIACION CULTURAL I'GARA,"Actuacion en el Club de Golf l as Americas el 06/07/13, Acto Afectados por Sindrome de Down",400
Material informático no inventariable,920,22002,2013-07-08,B38346276,ORION SERVICIOS DE OFICINAS E INFORMATICA S. L.,Toner y Tambor OKI,309.39
"Prensa, revistas, libros y otros",931,22001,2013-07-08,A81962201,ARANZADI EDITORIAL,Ln Online Contratacion Publica - Interventora Delegada Org.Au tónomos,326.48
"Rehab. Barrio Nuevo, C/Noruega y Explanada Los Cri",151,61104,2013-07-08,B38545836,"ASFALTOS GOMERA, S.L.","Certificación 11 ""Mejora y Aco ndicionamiento de las Calles N oruega y Barrio Nuevo, Los Cri stianos"".",19416.98
Combustibles y carburantes.,130,22103,2013-07-09,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Junio 2013,1297.21
Energía eléctrica,920,22100,2013-07-09,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 2013,Codigo Agrupacion 0895513",3313.7
Energía eléctrica,920,22100,2013-07-09,B82846825,ENDESA ENERGIA XXI S.L.,"Gastos Electricidad Av.Antonio  Dominguez, Parque publico, Mo to Bomba,Periodo:13/05/13-10/6 /13",199.16
Informáticas,920,22203,2013-07-09,A81962201,ARANZADI EDITORIAL,BD Westlaw Practi.Adm y 3 Usua rios Practico Adm Local,1190.42
Mantenimiento de Ascensores,323,21302,2013-07-09,A28011153,"ZARDOYA OTIS, S.A.","2ºTrimestre, Colegio Parque la Reina",835.83
Mantenimiento de Ascensores,323,21302,2013-07-09,A28011153,"ZARDOYA OTIS, S.A.","3º Trimestre, Colegio la Estre lla",658.08
Material informático no inventariable,920,22002,2013-07-09,B62505524,ONEDIRECT COMUNICACIONES S.L.,"Adquisicion de Casco Telefonic os (Plantronics ), para el 010  y Sala 092 de la Policia Loca l",4899.87
Plan de Promoción Económica,433,22614,2013-07-09,A38010856,AGUAS DE VILAFLOR S.A.,490 Botellines de Agua de 33CL,94.08
Energía eléctrica,312,22100,2013-07-10,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 2013, C?digo  Agrupacion 0898552",37878.12
Energía eléctrica,312,22100,2013-07-10,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 2013, Codigo  Agrupacion 0899142.",2877.04
Energía eléctrica,320,22100,2013-07-10,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion junio 2013, Codigo  Agrupacion  0897812.",6501.65
Energía eléctrica,340,22100,2013-07-10,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 2013, C?digo  Agrupacion 0898552",37878.12
Energía eléctrica,920,22100,2013-07-10,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 2013, C?digo  Agrupacion 0898552",37878.12
Energía eléctrica,920,22100,2013-07-10,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Junio 2013, C?digo  Agrupacion 0250191.",58.2
Equipamiento del Centro Cívico El Fraile,494,62508,2013-07-10,A28017895,EL CORTES INGLES S.A.,"Contratación Centralizada de S uministros ""Sistemas Audiovisu ales para Centro Cívico El Fra ile"". Proyecto Urban.",40073.4
Plan de Promoción Económica,433,22614,2013-07-10,B38715181,MEDIA PRESS INSULAR S.L.,Grabación de Arona en Colores  Las Galletas 15 junio 2013.,1096.75
Productos alimenticios,920,22105,2013-07-10,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",3 Bot.20L. Agua y Vasos. Recau dacion Municipal.,21.38
Recogida y acogida de animales.,313,22704,2013-07-10,N0044040D,AKTION TIER MENSCHEN FUR TIERE EV,Recogida de Perrros Abandonado s del 01/06/13-17/6/13.,8123.84
Tributos de las Entidades Locales,161,22502,2013-07-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,"Servicio Junio 2013, Depuracio n y Vertido",121662.46
Tributos de las Entidades Locales,161,22502,2013-07-10,Q8850002J,CONSEJO INSULAR DE AGUAS DE TENERIFE,Servicio Junio Desalacion 2013,217868.93
Cánones,173,20900,2013-07-11,Q3867002B,AUTORIDAD PORTUARIA DE SC DE TENERIFE,"Recargo por Fuera de Plazo, Li quidacion  72013-16791",3.63
Energía eléctrica,150,22100,2013-07-11,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 20132, Codig o Agrupacion 0899425.",18931.59
Energía eléctrica,340,22100,2013-07-11,A81948077,ENDESA ENERGIA S.A.U.,"Facturacion Junio 2013, Codigo  Agrupacion 0899431.",8796.03
Plan de Promoción Económica,433,22614,2013-07-11,B38715181,MEDIA PRESS INSULAR S.L.,Patrocinio Reportaje Arona en el Programa Mas Tursimo de la Television canaria emitido del  13 al 18 mayo 2013,2086.5
Repar. conserv. y man. elementos de transporte,132,21400,2013-07-11,B38963542,LLAVE SUR Y LEGARA S.L.,Por trabajos Realizados en Tap izados de 4 Laterales Puertas  y Techo TF-8773-CC,256.8
Repar. conserv. y man. elementos de transporte,132,21400,2013-07-11,B38963542,LLAVE SUR Y LEGARA S.L.,Por trabajos Realizados en Tap izados de 4 Laterales Puertas  y Techo TF8775-CC,256.8
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-07-11,H38351268,APTS. AMARILLA BAY FASE II C.P.,2 Trimestre Comunidad locales en Amarilla Bay II,519.75
Combustibles y carburantes.,130,22103,2013-07-12,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,"Carburante Junio 2013, Vehícul os  Policía Local.",376.23
Energía eléctrica,150,22100,2013-07-12,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Junio 2013, COD. A GRUP. 357217",542.6
Energía eléctrica,920,22100,2013-07-12,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion junio 2013, COD. A GRUP. 356743.",26049.85
Energía eléctrica,920,22100,2013-07-12,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion junio 2013, Codigo  agrupacion 356762",259.07
Vestuario,130,22104,2013-07-13,B62927009,INTERSPORT EXPANSION S L U,"Zapatilla Q22310 Duramo, 5 mAd idas-Policia local",39.17
Energía eléctrica,920,22100,2013-07-15,B82846825,ENDESA ENERGIA XXI S.L.,"Facturacion Junio 2013, COD. A GRUP. 357479.",298.55
Plan de Promoción Económica,433,22614,2013-07-15,B76603042,PARTY HOBBY S.L.,Actividades Realizadas para la  Zona Comercial de las Galleta s el Sabado 13/7/13,909.5
Repar. conserv. y man. elementos de transporte,132,21400,2013-07-15,B03260684,NEUMATICOS SOLEDAD S.L.,"Kit Reparacion TMO.Fonmar , In serto Fonmar-Policia Local. (p arches neumáticos).",95.59
Postales,920,22201,2013-07-16,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 16/07 /13, Rentas 491",67.25
Postales,920,22201,2013-07-16,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,"Servicio Correspondencia 16/07 /2013, Plusvalia 192",14.77
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot. 20 L.Agua. Cuota de Servi cio.,17.13
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot. Agua 20L.y Vasos. Cuota s ervicio. SAC Arona.,157.37
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.20 L. Agua. Cuota de Servi cio. Inform?tica.,63.63
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.20L. Agua. Cuota de Servic io.,24.63
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.20L. Cuota de Servicio. Tu rismo.,17.13
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.20L.Agua. Medio Ambiente.,31.02
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.Agua 20L. Cuota Servicio.T esoreria.,17.13
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.Agua y Vasos 500U. Cuota d e Servicio.,99.44
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.","Bot.Agua y Vasos, Cuota Mensua l. Urbanismo.",242.61
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.Agua y Vasos. Cuota de Ser vicio. Policia Los Cristianos.,86.68
Productos alimenticios,920,22105,2013-07-16,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot.Agua y Vasos. Policia Loca l.,200.61
Productos alimenticios,920,22105,2013-07-17,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",3 C. Vasos 500U. Centro Civico  Cabo Blanco.,13.25
"Reparación, man. y conserv. elementos de transport",150,21400,2013-07-17,B38233912,SERVICIOS E LEON S.L.,Reparación Masa Faros Traseros . Vehículo TF6942CB.,20.35
Vestuario,920,22104,2013-07-17,B76546225,"MAC IMPRESIONS, S.L.",Polos Impresos Montmelo- Medio  Ambiente,77.25
Señalizaciones Municipales,155,22613,2013-07-18,E38411161,"SERIGRAFICA CANDY, C.B.","20 Rotulos 20*20 y 1un 75/50, Se?alizaciones Municipales",214
Postales,920,22201,2013-07-19,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,59.34
Productos alimenticios,920,22105,2013-07-19,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot. Agua 20L. Cuota Servicio.  Centro Cívico Cabo Blanco.,43.38
Repar. conserv. y man. elementos de transporte,132,21400,2013-07-19,B38233912,SERVICIOS E LEON S.L.,Reparación Centralita de Luces  Torreta. Vehículo 6967CXN. Po licía Local.,72.23
Repar. conserv. y man. elementos de transporte,132,21400,2013-07-19,B38233912,SERVICIOS E LEON S.L.,Reparación y Revisión Luces y  Ciruitos ABS. Vehículo TF8775C C. Policía Local.,100.97
Informáticas,920,22203,2013-07-21,B64074230,UBILIBET S.L.,Servicios Renovación Registro Dominio Genérico .ORG playadel asamericas.org,55
Energía eléctrica,340,22100,2013-07-22,A81948077,ENDESA ENERGIA S.A.U.,"Electricidad en Av.Arquitecto Gomez Cuesta, , Playa Americas .Periodo: 01/06/2013-30/06/201 3",3809.54
Festejos y Actos Populares,338,22610,2013-07-22,B38986147,TANTOARTE PRODUCCIONES S.L.,"Actuación en Evento de Pablo A lborán el 12/7/13, Según Contr ato 1/2013-Cnt-Priv",26750
Plan de Formación Interno Empleados Públicos,920,22616,2013-07-22,B76584283,"SHINE PSICOLOGIA Y COACHING, S.L.",Imparticion Accion Formativa S emipresencial-Mediacion Comuni taria y Gestion del Conflicto,2568
Productos alimenticios,920,22105,2013-07-22,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Bot. Agua 20L. Cuota Servicio.,38.15
Recogida y acogida de animales.,313,22704,2013-07-22,B76586619,PROTEANIMALOY,"Servicio Acogida Junio (Despar asitacion, Control Vet,Aliment ación y Esterilizacion) de Per ros en Via publica.",2310.06
Material informático no inventariable,920,22002,2013-07-25,B38346276,ORION SERVICIOS DE OFICINAS E INFORMATICA S. L.,Tambor Oki C9600- Informatica,128.58
Material informático no inventariable,920,22002,2013-07-25,B38346276,ORION SERVICIOS DE OFICINAS E INFORMATICA S. L.,Unidad  Imagen OKI B6300 17K- Informatica,588.68
Plan de Promoción Económica,433,22614,2013-07-26,B38517934,ERQUITO GOMERA S.L.,Venta de 3Carpas-Concejalia de  Comercio,1444.5
Postales,920,22201,2013-07-26,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Multa s.,6.63
Equipos para Proceso de Información,920,62600,2013-07-29,A28017895,EL CORTES INGLES S.A.,Suministro e Instalacion de Vi deoproyector para el Aula de F ormación. Expte. 1/2013-CNT-CC SU.,1189.98
Combustibles y carburantes,920,22103,2013-07-30,A38047684,ESTACION SURAMERICAS S.A.,Carburante Julio 2013 Vehiculo s Policia Local.,2292.38
Combustibles y carburantes.,130,22103,2013-07-30,A38047684,ESTACION SURAMERICAS S.A.,Carburante Julio 2013 Vehiculo s Policia Local.,2292.38
Mejora de la accesibildad Avda. Chayofita,155,60901,2013-07-30,B38909461,"TRANSPORTES MESA LA FORTALEZA, S.L.",Trabajos Realizado Expte. 3/20 13-CNT-CMO,15491.76
Postales,920,22201,2013-07-30,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Catas tro.,22.82
Postales,920,22201,2013-07-30,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,45.65
Repar. conserv. y man. elementos de transporte,132,21400,2013-07-30,B38233912,SERVICIOS E LEON S.L.,Reparación Luces Generales y D estellantes de Torreta. Vehícu lo TF8773CC Policía Local.,197.53
"Reparación, man. y conserv. elementos de transport",150,21400,2013-07-30,F38206454,COOPERATIVA TAXIS DE ARONA,Radiador Vehículo E3140CFK.,207.74
Actividades Culturales y Deportivas,323,22609,2013-07-31,B38443073,YAIZA BUS S.L.,"Transporte Alumnos para Asisit ir a Talleres de Inmersi?n Lin guistica, los meses de Julio y  Agosto 2013.",4140
Actividades Culturales y Deportivas,323,22609,2013-07-31,B38443073,YAIZA BUS S.L.,"Transporte Alumnos para Asisti r a Talleres de inmersion Ling uistica los meses de Julio y A gosto.(Arona, Camella, S.Loren",4140
Anticipos por cuenta terceros,931,83001,2013-07-31,A38011623,CANARIA DE AVISOS S.A.,"Anuncio Licitacion ""Servicio T emporada hamacas y Sombrillas Playa de Los Cristianos"".",269.64
Anticipos por cuenta terceros,931,83001,2013-07-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Licitación ""Servicio de tempor ada hamacas y sombrillas playa  de Los Cristianos"".",192.6
Combustibles y carburantes,150,22103,2013-07-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Combustible Julio 2013, Vehicu los Mantenimiento.",1540.18
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0025DJC Julio 2013 .,215.8
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3140CFK Julio 2013 .,43.61
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E5224CSC Julio 2013 .,154.18
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E5224DHJ Julio 2013 .,34
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9021BWD Julio 2013,37.5
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9297FTP Julio 2013,47
Combustibles y carburantes,150,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF6942CB Julio 2013 .,50
Combustibles y carburantes,912,22103,2013-07-31,B38381695,ANTONIA TACORONTE E HIJOS S.L.,"Combustible y lavado Julio 201 3, Vehiculo 5325DCC",136.02
Combustibles y carburantes,912,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E2744CSJ Julio 2013,63.5
Combustibles y carburantes,912,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E5325DCC Julio 2013,156.89
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0305FCH Julio 2013 .,44
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E0545CZD Julio 2013 .,161.5
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E2073CFJ Julio 2013 .,42
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3463DHH Julio 2013 .,78
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8049CRY Julio 2013,36
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8685FGF Julio 2013 .,43
Combustibles y carburantes,920,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF1852CC Julio 2013 .,35.01
Combustibles y carburantes.,130,22103,2013-07-31,A38087367,CLAUDIO ALFONSO E HIJOS S.A.,Carburante Julio 2013 Vehículo s Policía Local.,206.38
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3637GYF Julio 2013 .,45
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3639GYF Julio 2013 .,46
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3642GYF Julio 2013,45
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3643GYF Julio 2013,36
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E3655GYF Julio 2013,60.42
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E6139BDC Julio 2013 .,103
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E6518BDC Julio 2013 .,46
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E6937CXN Julio 2013 .,42.06
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E6967CXN Julio 2013 .,67
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E7446BPR Julio 2013 .,53
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8629CDV Julio 2013,51
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8838BVY Julio 2013 .,39.51
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E8838BVY Julio 2013 .,41
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante E9326GYD Julio 2013 .,62
Combustibles y carburantes.,130,22103,2013-07-31,B38983318,"PICAMOLINOS, S.L.",Carburante TF0072BT Julio 2013 .,48.13
Combustibles y carburantes.,130,22103,2013-07-31,B76585801,"VILLASARA MULTISERVICIOS, S.L.",Carburante Julio 2013.,1319.17
"Desinfectantes, raticidas",313,22115,2013-07-31,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Junio 2013 Desratizac ion y Desinsectacion.,3852
"Desinfectantes, raticidas",313,22115,2013-07-31,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servicio Mayo 2013 Desratizaci on y Desinsectacion.,3852
"Desinfectantes, raticidas",313,22115,2013-07-31,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,Servico Julio 2013 Desratizaci on y Desinsectacion.,3852
Limpieza y Aseo,920,22700,2013-07-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Extra en Julio, Sala Anexa al Centro Civico de Cabo  Blanco",233.05
Limpieza y Aseo,920,22700,2013-07-31,B35745926,RALONS SERVICIOS S.L.,"Servicio Julio 2013, Limpieza Centros Educativos y Dependenc ias Municipales de Arona, Expt e. 1/10-Cnt-casv",135171
Mantenimiento Aire Acondicionado,920,21304,2013-07-31,B38007993,CONTROLES TENERIFE S.L.,"Gas Solklane y Envase 12,3 L. Rep. Conservacion Edificio.",152.35
Material informático no inventariable,920,22002,2013-07-31,B38581393,TECNISUR COPIADORAS S.L.,Facturacion Contadores Fotocop iadoras Konica.,2874.9
Ordinario no inventariable,130,22000,2013-07-31,B38844320,LITOGRAFIA SANTA ELENA S.L.,"50 Talon. 50 H. c/u. de Poliza s 3,00 en P.Adhes. Troq. Tesor eria.",193.56
Ordinario no inventariable,920,22000,2013-07-31,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suministro Vario Oficina Julio  2013,1518.22
Plan de Promoción Económica,433,22614,2013-07-31,A38022182,RADIO CLUB DE CANARIAS S.A.,Cuñas Publicitarias Fiesta y S aldo... en 40 principales y Di al Tenerife Sur.,374.61
Postales,920,22201,2013-07-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturacion Julio 2013 Franque o Pagado (servicio corresponde ncia).,8675
Postales,920,22201,2013-07-31,A83052407,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,Facturacion Julio 2013 Franque o pagado Gestion Catastral,64.58
Postales,920,22201,2013-07-31,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia multa s.,6.13
Postales,920,22201,2013-07-31,B38601175,SERVICIOS INTEGRALES DE CORRESPONDENCIA TENERIFE S,Servicio Correspondencia Renta s.,10.77
"Prensa, revistas, libros y otros",912,22001,2013-07-31,A82779919,LOGINTEGRAL 2000 S.A.U.,Renovacion Suscripcion El Mund o. Periodo 31/07/2013-30/07/20 14.,475.96
Productos alimenticios,920,22105,2013-07-31,B38641387,"FUENTE AZUL CIA. DE AGUAS, S.L.",Cuota de Servicio.,77.04
Publicidad y Propaganda,920,22602,2013-07-31,A38011623,CANARIA DE AVISOS S.A.,Anuncio Relacion de Vehiculos con Sintomas de Abandono,674.1
Publicidad y Propaganda,920,22602,2013-07-31,A38017844,EDITORIAL LEONCIO RODRIGUEZ S.A.,"Anuncio suministro de agua 3ºB imestre 2013, Conservación con tadores y Alcantarillado.",192.6
"Reparaciones, man. y conserv. Edificios y otras co",920,21200,2013-07-31,B38889911,"INVERSIONES MARTIN DORTA, S.L.",Copias de Llave.,8.4
Señalizaciones Municipales,155,22613,2013-07-31,B38621850,FERRETERIA HERMALAY S.L.,Adquisición material de ferret ería Obra Callejeros.,1140.92
Servicio de Atención Telefónica,925,22720,2013-07-31,B62916077,KONECTA BTO S.L.,Servicio Julio 2013 Atencion t elefonica 010 y 092.,43143.93
Servicio de Mantenimiento Eléctrico de Edificios,320,22716,2013-07-31,A28010478,IMESAPI S.A.,"Servicio Julio 2013 Mantenimie nto Instalaciones Electricas e n Espacios Publicos, Depend.Ad tivas., Locales Sociales, Depo",109414.53
Servicio de Mantenimiento Eléctrico de Edificios,342,22716,2013-07-31,A28010478,IMESAPI S.A.,"Servicio Julio 2013 Mantenimie nto Instalaciones Electricas e n Espacios Publicos, Depend.Ad tivas., Locales Sociales, Depo",109414.53
Servicio de Mantenimiento Eléctrico de Edificios,920,22716,2013-07-31,A28010478,IMESAPI S.A.,"Servicio Julio 2013 Mantenimie nto Instalaciones Electricas e n Espacios Publicos, Depend.Ad tivas., Locales Sociales, Depo",109414.53
Servicio Mantenimiento Alumbrado Público,165,22712,2013-07-31,A28010478,IMESAPI S.A.,"Servicio Julio 2013 Mantenimie nto Instalaciones Electricas e n Espacios Publicos, Depend.Ad tivas., Locales Sociales, Depo",109414.53
Servicio Mantenimiento Jardines Municipales,171,22741,2013-07-31,U76535509,UTE ZONAS VERDES ARONA,Certif. julio 2013,356329.37
Servicio Recogida RSU y Lim. Viaria,162,22709,2013-07-31,U76525534,UTE ARONA,"Servicio Julio 2013, Gestion d e Residuos Solidos, Expte.1/20 10-CNT-CASP",520424.04
Servicio Recogida RSU y Lim. Viaria,162,22709,2013-07-31,U76525534,UTE ARONA,"Servicio Julio 2013, Limpieza Viaria, Expte.1/2010-CNT-CASP",505525.32
Vestuario,920,22104,2013-07-31,B38722922,UNIFORMES DEL ATLANTICO S.L.,Uniformes Personal SAC.,92.29
Arrendamientos de Material de Transporte,132,20400,2013-08-01,A91001438,ALPHABET ESPAÑA FLEET MANAGEMENT S.A.U.,Renting Agosto 2013 Vehiculos Policia Local.,11492.78
Asistencia Médico-Farmacéutica,221,16008,2013-08-01,A28011864,SEGURCAIXA ADESLAS S.A. DE SEGUROS Y REASEGUROS,"Liquidacion Agosto 2013, Prima s  Asistencia Sanitaria, una v ez descontado 10.503 empleado  s públicos.",17427.2
"Desinfectantes, raticidas",313,22115,2013-08-01,B38589842,MAXIMO PESTANO SANIDAD AMBIENTAL S.L.,"Desratización y Desinsectación , en el Mes Agosto 2013.",3852
Repar. mant. y cons. Mobiliario,920,21500,2013-08-01,B38381653,SUMINISTRO DE OFICINA OFIPAPEL S.L.,Suminsitro Sillon Athenas Gira toria Ajustable c/Brazos.,92.22
Seguridad,920,22701,2013-08-01,B76587641,SERVICIOS E INVERSIONES TF S.L.,Servicio Julio 2013 Vigilancia  SAC.,1464.98
Vestuario,130,22104,2013-08-01,B62927009,INTERSPORT EXPANSION S L U,Zapatilla V48896 Carthage 3.0 REEBOK. Agente Policía Turísti ca.,36.55
Recogida y acogida de animales.,313,22704,2013-08-03,B76586619,PROTEANIMALOY,Servicio Julio 2013 Retirada d e Perros en la Via Publica.,1605
Energía eléctrica,920,22100,2013-08-05,A81948077,ENDESA ENERGIA S.A.U.,Consumo Electrico Julio 2013 C od. Agrupacion 0933691.,2573.11
Plan de Barrios,151,60135,2013-08-05,B76574664,"FERRALLA TENERIFE SUR, S.L.","Certificación nº 2 Obra ""Conex ión Peatonal Punto Limpio con  Malpaso"".",10962.82
Productos alimenticios,912,22105,2013-08-05,A38010856,AGUAS DE VILAFLOR S.A.,Suministro Botellines de 33CL,241.45
Recogida y acogida de animales.,313,22704,2013-08-05,B76586619,PROTEANIMALOY,"Servicio Acogida (desparasitac ion, Control Veterinario, cast racion, etc.) de perros de la Via Pública Mes Julio 2013.",6765.17
Servicio de mantenimiento de vías y edificios,320,22713,2013-08-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certif. julio 2013,194173.79
Servicio de mantenimiento de vías y edificios,330,22713,2013-08-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certif. julio 2013,194173.79
Servicio de mantenimiento de vías y edificios,342,22713,2013-08-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certif. julio 2013,194173.79
Servicio de mantenimiento de vías y edificios,920,22713,2013-08-05,U76507094,TINERFEÑA DE OBRAS PUBLICAS S.L. UTE ARONA,Certif. julio 2013,194173.79
